date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:23:58	1148/1148	---M--	404	error ('Not%20Found')	text/html	date:Sat,%2003%20Mar%202018%2020:23:50%20GMT	http://rbista.com/robots.txt		(from )
15:23:58	19726/19726	---M-Z	200	added ('OK')	text/html	date:Wed,%2016%20Aug%202017%2018:37:53%20GMT	http://rbista.com/zwin/html/	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/index.html	(from )
15:24:14	237/237	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2003%20Mar%202018%2019:25:07%20GMT	http://www.w3.org/1999/xhtml	C:/Users/planet/Desktop/PERSONAL/CV/www.w3.org/1999/xhtml.0.delayed	(from http://rbista.com/zwin/html/)
15:24:14	1203/1203	---M-Z	200	added ('OK')	text/css	date:Sun,%2018%20Mar%202012%2018:32:14%20GMT	http://rbista.com/zwin/html/css/reset.css	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/css/reset.css	(from http://rbista.com/zwin/html/)
15:24:14	27477/27477	---M-Z	200	added ('OK')	text/css	date:Thu,%2009%20May%202013%2019:00:02%20GMT	http://rbista.com/zwin/html/css/style.css	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/css/style.css	(from http://rbista.com/zwin/html/)
15:24:15	19934/19934	---M-Z	200	added ('OK')	text/css	date:Sat,%2016%20Mar%202013%2018:37:48%20GMT	http://rbista.com/zwin/html/css/prettyPhoto.css	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/css/prettyPhoto.css	(from http://rbista.com/zwin/html/)
15:24:20	1922/1922	---MC-	200	added ('OK')	text/css	date:Sat,%2003%20Mar%202018%2020:24:20%20GMT	http://fonts.googleapis.com/css?family=Open+Sans:400,600,300,800,700,400italic|PT+Serif:400,400italic	C:/Users/planet/Desktop/PERSONAL/CV/fonts.googleapis.com/css6f7d.css	(from http://rbista.com/zwin/html/)
15:24:21	91668/91668	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2009%20Feb%202013%2004:22:44%20GMT	http://rbista.com/zwin/html/js/jquery.min.js	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/js/jquery.min.js	(from http://rbista.com/zwin/html/)
15:24:21	8929/8929	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2026%20Jan%202012%2021:31:04%20GMT	http://rbista.com/zwin/html/js/jquery.easytabs.min.js	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/js/jquery.easytabs.min.js	(from http://rbista.com/zwin/html/)
15:24:22	4017/4017	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2003%20Feb%202012%2018:11:52%20GMT	http://rbista.com/zwin/html/js/respond.min.js	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/js/respond.min.js	(from http://rbista.com/zwin/html/)
15:24:23	21506/21506	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2006%20May%202015%2019:35:50%20GMT	http://rbista.com/zwin/html/js/jquery.prettyPhoto.js	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/js/jquery.prettyPhoto.js	(from http://rbista.com/zwin/html/)
15:24:23	15954/15954	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Feb%202013%2011:42:46%20GMT	http://rbista.com/zwin/html/js/jquery.isotope.min.js	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/js/jquery.isotope.min.js	(from http://rbista.com/zwin/html/)
15:24:23	3397/3397	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2009%20Feb%202013%2004:22:24%20GMT	http://rbista.com/zwin/html/js/jquery-ui-map.js	C:/Users/planet/Desktop/PERSONAL/CV/rbista.com/zwin/html/js/jquery-ui-map.js	(from http://rbista.com/zwin/html/)
